"","Crime Type","Occurance"
"32","THEFT",418
"3","BATTERY",376
"7","CRIMINAL DAMAGE",285
"2","ASSAULT",125
"29","ROBBERY",118
"17","MOTOR VEHICLE THEFT",113
"25","OTHER OFFENSE",112
"9","DECEPTIVE PRACTICE",98
"4","BURGLARY",82
"18","NARCOTICS",42
"8","CRIMINAL TRESPASS",23
"23","OFFENSE INVOLVING CHILDREN",17
"30","SEX OFFENSE",12
"33","WEAPONS VIOLATION",12
"6","CRIM SEXUAL ASSAULT",10
"28","PUBLIC PEACE VIOLATION",6
"11","HOMICIDE",3
"31","STALKING",3
"1","ARSON",2
"15","KIDNAPPING",2
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"14","INTIMIDATION",1
"19","NON-CRIMINAL",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
