"","Crime Type","Occurance"
"3","BATTERY",1349
"32","THEFT",912
"7","CRIMINAL DAMAGE",762
"2","ASSAULT",509
"25","OTHER OFFENSE",459
"4","BURGLARY",398
"29","ROBBERY",294
"9","DECEPTIVE PRACTICE",281
"18","NARCOTICS",244
"17","MOTOR VEHICLE THEFT",223
"8","CRIMINAL TRESPASS",140
"33","WEAPONS VIOLATION",97
"23","OFFENSE INVOLVING CHILDREN",71
"28","PUBLIC PEACE VIOLATION",36
"6","CRIM SEXUAL ASSAULT",35
"13","INTERFERENCE WITH PUBLIC OFFICER",33
"11","HOMICIDE",19
"30","SEX OFFENSE",14
"1","ARSON",9
"15","KIDNAPPING",8
"10","GAMBLING",7
"31","STALKING",4
"16","LIQUOR LAW VIOLATION",2
"26","PROSTITUTION",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"14","INTIMIDATION",1
"27","PUBLIC INDECENCY",1
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
