"","Crime Type","Occurance"
"3","BATTERY",199
"32","THEFT",151
"7","CRIMINAL DAMAGE",122
"2","ASSAULT",95
"25","OTHER OFFENSE",73
"4","BURGLARY",69
"9","DECEPTIVE PRACTICE",58
"18","NARCOTICS",50
"29","ROBBERY",43
"17","MOTOR VEHICLE THEFT",41
"33","WEAPONS VIOLATION",30
"8","CRIMINAL TRESPASS",24
"23","OFFENSE INVOLVING CHILDREN",12
"28","PUBLIC PEACE VIOLATION",11
"6","CRIM SEXUAL ASSAULT",7
"13","INTERFERENCE WITH PUBLIC OFFICER",6
"11","HOMICIDE",5
"1","ARSON",3
"15","KIDNAPPING",1
"16","LIQUOR LAW VIOLATION",1
"30","SEX OFFENSE",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
