"","Crime Type","Occurance"
"32","THEFT",188
"3","BATTERY",135
"2","ASSAULT",76
"7","CRIMINAL DAMAGE",73
"9","DECEPTIVE PRACTICE",38
"29","ROBBERY",37
"17","MOTOR VEHICLE THEFT",32
"18","NARCOTICS",32
"8","CRIMINAL TRESPASS",28
"25","OTHER OFFENSE",22
"4","BURGLARY",16
"33","WEAPONS VIOLATION",14
"23","OFFENSE INVOLVING CHILDREN",8
"11","HOMICIDE",5
"6","CRIM SEXUAL ASSAULT",4
"13","INTERFERENCE WITH PUBLIC OFFICER",4
"1","ARSON",2
"28","PUBLIC PEACE VIOLATION",2
"30","SEX OFFENSE",2
"10","GAMBLING",1
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
