"","Crime Type","Occurance"
"32","THEFT",528
"3","BATTERY",439
"7","CRIMINAL DAMAGE",358
"9","DECEPTIVE PRACTICE",208
"25","OTHER OFFENSE",170
"2","ASSAULT",167
"4","BURGLARY",146
"17","MOTOR VEHICLE THEFT",111
"29","ROBBERY",96
"18","NARCOTICS",69
"8","CRIMINAL TRESPASS",61
"23","OFFENSE INVOLVING CHILDREN",28
"33","WEAPONS VIOLATION",27
"30","SEX OFFENSE",19
"6","CRIM SEXUAL ASSAULT",15
"28","PUBLIC PEACE VIOLATION",10
"16","LIQUOR LAW VIOLATION",8
"11","HOMICIDE",5
"15","KIDNAPPING",5
"1","ARSON",3
"13","INTERFERENCE WITH PUBLIC OFFICER",3
"14","INTIMIDATION",2
"22","OBSCENITY",2
"31","STALKING",2
"19","NON-CRIMINAL",1
"26","PROSTITUTION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
