"","Crime Type","Occurance"
"32","THEFT",224
"3","BATTERY",105
"7","CRIMINAL DAMAGE",86
"9","DECEPTIVE PRACTICE",73
"4","BURGLARY",48
"2","ASSAULT",40
"25","OTHER OFFENSE",40
"17","MOTOR VEHICLE THEFT",33
"18","NARCOTICS",26
"29","ROBBERY",24
"8","CRIMINAL TRESPASS",15
"23","OFFENSE INVOLVING CHILDREN",9
"33","WEAPONS VIOLATION",5
"6","CRIM SEXUAL ASSAULT",3
"16","LIQUOR LAW VIOLATION",2
"30","SEX OFFENSE",2
"1","ARSON",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"14","INTIMIDATION",1
"28","PUBLIC PEACE VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"15","KIDNAPPING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
