"","Crime Type","Occurance"
"32","THEFT",143
"3","BATTERY",92
"7","CRIMINAL DAMAGE",71
"2","ASSAULT",46
"25","OTHER OFFENSE",42
"17","MOTOR VEHICLE THEFT",33
"9","DECEPTIVE PRACTICE",27
"4","BURGLARY",22
"29","ROBBERY",18
"8","CRIMINAL TRESPASS",14
"33","WEAPONS VIOLATION",12
"18","NARCOTICS",6
"6","CRIM SEXUAL ASSAULT",3
"15","KIDNAPPING",2
"30","SEX OFFENSE",2
"1","ARSON",1
"11","HOMICIDE",1
"14","INTIMIDATION",1
"19","NON-CRIMINAL",1
"22","OBSCENITY",1
"23","OFFENSE INVOLVING CHILDREN",1
"28","PUBLIC PEACE VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"13","INTERFERENCE WITH PUBLIC OFFICER",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
