"","Crime Type","Occurance"
"32","THEFT",156
"3","BATTERY",118
"7","CRIMINAL DAMAGE",100
"4","BURGLARY",73
"9","DECEPTIVE PRACTICE",69
"25","OTHER OFFENSE",68
"2","ASSAULT",47
"17","MOTOR VEHICLE THEFT",39
"8","CRIMINAL TRESPASS",23
"18","NARCOTICS",18
"29","ROBBERY",17
"23","OFFENSE INVOLVING CHILDREN",14
"28","PUBLIC PEACE VIOLATION",4
"30","SEX OFFENSE",4
"6","CRIM SEXUAL ASSAULT",3
"1","ARSON",2
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"15","KIDNAPPING",2
"16","LIQUOR LAW VIOLATION",1
"27","PUBLIC INDECENCY",1
"33","WEAPONS VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"31","STALKING",0
