"","Crime Type","Occurance"
"3","BATTERY",111
"32","THEFT",78
"7","CRIMINAL DAMAGE",66
"2","ASSAULT",45
"9","DECEPTIVE PRACTICE",38
"25","OTHER OFFENSE",32
"4","BURGLARY",24
"17","MOTOR VEHICLE THEFT",12
"18","NARCOTICS",8
"8","CRIMINAL TRESPASS",7
"23","OFFENSE INVOLVING CHILDREN",4
"33","WEAPONS VIOLATION",3
"6","CRIM SEXUAL ASSAULT",2
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"28","PUBLIC PEACE VIOLATION",2
"29","ROBBERY",2
"30","SEX OFFENSE",2
"31","STALKING",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
