"","Crime Type","Occurance"
"32","THEFT",192
"7","CRIMINAL DAMAGE",139
"3","BATTERY",132
"2","ASSAULT",59
"25","OTHER OFFENSE",54
"4","BURGLARY",52
"18","NARCOTICS",52
"17","MOTOR VEHICLE THEFT",40
"9","DECEPTIVE PRACTICE",35
"29","ROBBERY",22
"8","CRIMINAL TRESPASS",13
"23","OFFENSE INVOLVING CHILDREN",11
"33","WEAPONS VIOLATION",8
"1","ARSON",3
"31","STALKING",3
"6","CRIM SEXUAL ASSAULT",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"15","KIDNAPPING",1
"16","LIQUOR LAW VIOLATION",1
"19","NON-CRIMINAL",1
"30","SEX OFFENSE",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"28","PUBLIC PEACE VIOLATION",0
