"","Crime Type","Occurance"
"3","BATTERY",1597
"32","THEFT",960
"7","CRIMINAL DAMAGE",762
"2","ASSAULT",599
"25","OTHER OFFENSE",521
"4","BURGLARY",439
"29","ROBBERY",336
"9","DECEPTIVE PRACTICE",269
"17","MOTOR VEHICLE THEFT",230
"18","NARCOTICS",206
"8","CRIMINAL TRESPASS",143
"33","WEAPONS VIOLATION",80
"23","OFFENSE INVOLVING CHILDREN",58
"28","PUBLIC PEACE VIOLATION",35
"6","CRIM SEXUAL ASSAULT",33
"13","INTERFERENCE WITH PUBLIC OFFICER",28
"11","HOMICIDE",16
"30","SEX OFFENSE",16
"1","ARSON",6
"10","GAMBLING",6
"14","INTIMIDATION",2
"15","KIDNAPPING",1
"16","LIQUOR LAW VIOLATION",1
"21","NON - CRIMINAL",1
"22","OBSCENITY",1
"26","PROSTITUTION",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
