"","Crime Type","Occurance"
"3","BATTERY",195
"32","THEFT",195
"7","CRIMINAL DAMAGE",131
"25","OTHER OFFENSE",88
"2","ASSAULT",87
"9","DECEPTIVE PRACTICE",50
"4","BURGLARY",37
"17","MOTOR VEHICLE THEFT",33
"18","NARCOTICS",25
"29","ROBBERY",25
"8","CRIMINAL TRESPASS",21
"23","OFFENSE INVOLVING CHILDREN",11
"33","WEAPONS VIOLATION",10
"28","PUBLIC PEACE VIOLATION",7
"6","CRIM SEXUAL ASSAULT",5
"30","SEX OFFENSE",4
"1","ARSON",2
"11","HOMICIDE",2
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"15","KIDNAPPING",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"10","GAMBLING",1
"31","STALKING",1
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
