"","Crime Type","Occurance"
"3","BATTERY",73
"7","CRIMINAL DAMAGE",51
"32","THEFT",42
"2","ASSAULT",30
"25","OTHER OFFENSE",26
"4","BURGLARY",15
"9","DECEPTIVE PRACTICE",15
"18","NARCOTICS",15
"17","MOTOR VEHICLE THEFT",12
"29","ROBBERY",9
"33","WEAPONS VIOLATION",5
"6","CRIM SEXUAL ASSAULT",4
"8","CRIMINAL TRESPASS",4
"23","OFFENSE INVOLVING CHILDREN",3
"28","PUBLIC PEACE VIOLATION",2
"1","ARSON",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"30","SEX OFFENSE",0
"31","STALKING",0
