"","Crime Type","Occurance"
"32","THEFT",1466
"9","DECEPTIVE PRACTICE",362
"7","CRIMINAL DAMAGE",312
"3","BATTERY",280
"4","BURGLARY",216
"17","MOTOR VEHICLE THEFT",120
"29","ROBBERY",113
"25","OTHER OFFENSE",98
"2","ASSAULT",88
"8","CRIMINAL TRESPASS",86
"6","CRIM SEXUAL ASSAULT",26
"18","NARCOTICS",23
"28","PUBLIC PEACE VIOLATION",10
"16","LIQUOR LAW VIOLATION",8
"1","ARSON",7
"23","OFFENSE INVOLVING CHILDREN",7
"30","SEX OFFENSE",7
"33","WEAPONS VIOLATION",4
"31","STALKING",2
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"14","INTIMIDATION",1
"15","KIDNAPPING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
