"","Crime Type","Occurance"
"32","THEFT",1390
"3","BATTERY",552
"7","CRIMINAL DAMAGE",518
"4","BURGLARY",265
"9","DECEPTIVE PRACTICE",259
"17","MOTOR VEHICLE THEFT",255
"2","ASSAULT",225
"25","OTHER OFFENSE",204
"29","ROBBERY",157
"8","CRIMINAL TRESPASS",100
"18","NARCOTICS",76
"23","OFFENSE INVOLVING CHILDREN",30
"28","PUBLIC PEACE VIOLATION",23
"33","WEAPONS VIOLATION",22
"6","CRIM SEXUAL ASSAULT",20
"30","SEX OFFENSE",15
"1","ARSON",11
"13","INTERFERENCE WITH PUBLIC OFFICER",5
"11","HOMICIDE",4
"15","KIDNAPPING",3
"16","LIQUOR LAW VIOLATION",3
"14","INTIMIDATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
