"","Crime Type","Occurance"
"32","THEFT",3729
"9","DECEPTIVE PRACTICE",1130
"3","BATTERY",967
"7","CRIMINAL DAMAGE",509
"2","ASSAULT",307
"29","ROBBERY",235
"25","OTHER OFFENSE",234
"17","MOTOR VEHICLE THEFT",209
"8","CRIMINAL TRESPASS",200
"4","BURGLARY",155
"18","NARCOTICS",101
"6","CRIM SEXUAL ASSAULT",67
"28","PUBLIC PEACE VIOLATION",31
"33","WEAPONS VIOLATION",31
"16","LIQUOR LAW VIOLATION",28
"30","SEX OFFENSE",22
"23","OFFENSE INVOLVING CHILDREN",20
"26","PROSTITUTION",13
"13","INTERFERENCE WITH PUBLIC OFFICER",12
"31","STALKING",5
"1","ARSON",4
"15","KIDNAPPING",4
"11","HOMICIDE",3
"5","CONCEALED CARRY LICENSE VIOLATION",2
"10","GAMBLING",2
"14","INTIMIDATION",2
"19","NON-CRIMINAL",2
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
