"","Crime Type","Occurance"
"32","THEFT",159
"3","BATTERY",115
"7","CRIMINAL DAMAGE",92
"2","ASSAULT",49
"4","BURGLARY",46
"9","DECEPTIVE PRACTICE",42
"17","MOTOR VEHICLE THEFT",41
"25","OTHER OFFENSE",35
"18","NARCOTICS",25
"29","ROBBERY",19
"8","CRIMINAL TRESPASS",12
"33","WEAPONS VIOLATION",10
"28","PUBLIC PEACE VIOLATION",5
"6","CRIM SEXUAL ASSAULT",4
"23","OFFENSE INVOLVING CHILDREN",4
"1","ARSON",3
"11","HOMICIDE",2
"30","SEX OFFENSE",2
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"19","NON-CRIMINAL",1
"26","PROSTITUTION",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
