"","Crime Type","Occurance"
"32","THEFT",312
"3","BATTERY",287
"7","CRIMINAL DAMAGE",196
"2","ASSAULT",147
"25","OTHER OFFENSE",107
"9","DECEPTIVE PRACTICE",76
"4","BURGLARY",60
"17","MOTOR VEHICLE THEFT",59
"29","ROBBERY",50
"8","CRIMINAL TRESPASS",48
"18","NARCOTICS",47
"33","WEAPONS VIOLATION",23
"23","OFFENSE INVOLVING CHILDREN",14
"28","PUBLIC PEACE VIOLATION",10
"13","INTERFERENCE WITH PUBLIC OFFICER",7
"6","CRIM SEXUAL ASSAULT",4
"30","SEX OFFENSE",4
"1","ARSON",3
"11","HOMICIDE",2
"15","KIDNAPPING",2
"16","LIQUOR LAW VIOLATION",2
"31","STALKING",2
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
