"","Crime Type","Occurance"
"3","BATTERY",863
"32","THEFT",588
"7","CRIMINAL DAMAGE",456
"2","ASSAULT",326
"25","OTHER OFFENSE",283
"17","MOTOR VEHICLE THEFT",201
"29","ROBBERY",189
"9","DECEPTIVE PRACTICE",188
"4","BURGLARY",150
"18","NARCOTICS",145
"8","CRIMINAL TRESPASS",58
"33","WEAPONS VIOLATION",56
"28","PUBLIC PEACE VIOLATION",49
"23","OFFENSE INVOLVING CHILDREN",35
"30","SEX OFFENSE",31
"16","LIQUOR LAW VIOLATION",22
"6","CRIM SEXUAL ASSAULT",21
"1","ARSON",20
"13","INTERFERENCE WITH PUBLIC OFFICER",10
"11","HOMICIDE",9
"14","INTIMIDATION",4
"31","STALKING",3
"15","KIDNAPPING",2
"19","NON-CRIMINAL",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
