"","Crime Type","Occurance"
"3","BATTERY",1763
"7","CRIMINAL DAMAGE",816
"18","NARCOTICS",780
"32","THEFT",727
"2","ASSAULT",529
"25","OTHER OFFENSE",469
"29","ROBBERY",318
"17","MOTOR VEHICLE THEFT",257
"4","BURGLARY",227
"9","DECEPTIVE PRACTICE",195
"33","WEAPONS VIOLATION",157
"8","CRIMINAL TRESPASS",133
"28","PUBLIC PEACE VIOLATION",74
"23","OFFENSE INVOLVING CHILDREN",57
"6","CRIM SEXUAL ASSAULT",39
"13","INTERFERENCE WITH PUBLIC OFFICER",26
"11","HOMICIDE",23
"26","PROSTITUTION",19
"10","GAMBLING",16
"30","SEX OFFENSE",15
"1","ARSON",14
"16","LIQUOR LAW VIOLATION",6
"31","STALKING",6
"22","OBSCENITY",3
"19","NON-CRIMINAL",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
