"","Crime Type","Occurance"
"32","THEFT",252
"3","BATTERY",220
"7","CRIMINAL DAMAGE",206
"4","BURGLARY",139
"25","OTHER OFFENSE",114
"2","ASSAULT",99
"9","DECEPTIVE PRACTICE",98
"17","MOTOR VEHICLE THEFT",64
"8","CRIMINAL TRESPASS",48
"29","ROBBERY",41
"18","NARCOTICS",36
"23","OFFENSE INVOLVING CHILDREN",15
"6","CRIM SEXUAL ASSAULT",9
"28","PUBLIC PEACE VIOLATION",6
"30","SEX OFFENSE",6
"33","WEAPONS VIOLATION",6
"1","ARSON",5
"15","KIDNAPPING",4
"10","GAMBLING",3
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"16","LIQUOR LAW VIOLATION",1
"19","NON-CRIMINAL",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
