"","Crime Type","Occurance"
"32","THEFT",217
"3","BATTERY",111
"7","CRIMINAL DAMAGE",101
"9","DECEPTIVE PRACTICE",65
"2","ASSAULT",61
"25","OTHER OFFENSE",60
"4","BURGLARY",59
"17","MOTOR VEHICLE THEFT",40
"8","CRIMINAL TRESPASS",29
"29","ROBBERY",19
"18","NARCOTICS",18
"23","OFFENSE INVOLVING CHILDREN",6
"30","SEX OFFENSE",6
"15","KIDNAPPING",5
"28","PUBLIC PEACE VIOLATION",3
"31","STALKING",3
"6","CRIM SEXUAL ASSAULT",2
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"19","NON-CRIMINAL",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"33","WEAPONS VIOLATION",0
