"","Crime Type","Occurance"
"3","BATTERY",480
"32","THEFT",439
"7","CRIMINAL DAMAGE",362
"25","OTHER OFFENSE",235
"2","ASSAULT",180
"9","DECEPTIVE PRACTICE",140
"4","BURGLARY",134
"17","MOTOR VEHICLE THEFT",129
"29","ROBBERY",120
"18","NARCOTICS",107
"8","CRIMINAL TRESPASS",84
"23","OFFENSE INVOLVING CHILDREN",49
"33","WEAPONS VIOLATION",43
"28","PUBLIC PEACE VIOLATION",15
"11","HOMICIDE",13
"13","INTERFERENCE WITH PUBLIC OFFICER",10
"6","CRIM SEXUAL ASSAULT",6
"15","KIDNAPPING",6
"30","SEX OFFENSE",3
"1","ARSON",1
"14","INTIMIDATION",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
