"","Crime Type","Occurance"
"3","BATTERY",1048
"32","THEFT",695
"7","CRIMINAL DAMAGE",622
"4","BURGLARY",363
"2","ASSAULT",358
"25","OTHER OFFENSE",313
"29","ROBBERY",200
"9","DECEPTIVE PRACTICE",197
"17","MOTOR VEHICLE THEFT",190
"18","NARCOTICS",184
"8","CRIMINAL TRESPASS",86
"33","WEAPONS VIOLATION",78
"23","OFFENSE INVOLVING CHILDREN",61
"28","PUBLIC PEACE VIOLATION",25
"1","ARSON",18
"6","CRIM SEXUAL ASSAULT",18
"30","SEX OFFENSE",17
"10","GAMBLING",16
"11","HOMICIDE",15
"13","INTERFERENCE WITH PUBLIC OFFICER",15
"16","LIQUOR LAW VIOLATION",6
"15","KIDNAPPING",2
"19","NON-CRIMINAL",2
"14","INTIMIDATION",1
"22","OBSCENITY",1
"26","PROSTITUTION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
