"","Crime Type","Occurance"
"3","BATTERY",1290
"32","THEFT",620
"7","CRIMINAL DAMAGE",525
"2","ASSAULT",487
"25","OTHER OFFENSE",406
"18","NARCOTICS",351
"29","ROBBERY",231
"4","BURGLARY",228
"17","MOTOR VEHICLE THEFT",174
"9","DECEPTIVE PRACTICE",166
"8","CRIMINAL TRESPASS",138
"33","WEAPONS VIOLATION",123
"28","PUBLIC PEACE VIOLATION",55
"11","HOMICIDE",41
"13","INTERFERENCE WITH PUBLIC OFFICER",38
"23","OFFENSE INVOLVING CHILDREN",30
"6","CRIM SEXUAL ASSAULT",22
"30","SEX OFFENSE",17
"10","GAMBLING",10
"1","ARSON",9
"26","PROSTITUTION",6
"15","KIDNAPPING",5
"31","STALKING",5
"5","CONCEALED CARRY LICENSE VIOLATION",2
"14","INTIMIDATION",2
"12","HUMAN TRAFFICKING",1
"16","LIQUOR LAW VIOLATION",1
"22","OBSCENITY",1
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
