"","Crime Type","Occurance"
"3","BATTERY",2991
"32","THEFT",1736
"7","CRIMINAL DAMAGE",1446
"18","NARCOTICS",1387
"2","ASSAULT",1004
"25","OTHER OFFENSE",933
"29","ROBBERY",670
"17","MOTOR VEHICLE THEFT",560
"9","DECEPTIVE PRACTICE",496
"4","BURGLARY",388
"26","PROSTITUTION",312
"33","WEAPONS VIOLATION",245
"8","CRIMINAL TRESPASS",244
"23","OFFENSE INVOLVING CHILDREN",122
"28","PUBLIC PEACE VIOLATION",101
"13","INTERFERENCE WITH PUBLIC OFFICER",72
"11","HOMICIDE",64
"6","CRIM SEXUAL ASSAULT",62
"10","GAMBLING",39
"1","ARSON",37
"30","SEX OFFENSE",33
"15","KIDNAPPING",3
"16","LIQUOR LAW VIOLATION",3
"31","STALKING",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"12","HUMAN TRAFFICKING",1
"14","INTIMIDATION",1
"27","PUBLIC INDECENCY",1
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
