"","Crime Type","Occurance"
"3","BATTERY",311
"32","THEFT",299
"7","CRIMINAL DAMAGE",171
"9","DECEPTIVE PRACTICE",135
"2","ASSAULT",117
"25","OTHER OFFENSE",116
"4","BURGLARY",76
"18","NARCOTICS",54
"17","MOTOR VEHICLE THEFT",49
"29","ROBBERY",39
"8","CRIMINAL TRESPASS",34
"23","OFFENSE INVOLVING CHILDREN",23
"28","PUBLIC PEACE VIOLATION",17
"33","WEAPONS VIOLATION",16
"13","INTERFERENCE WITH PUBLIC OFFICER",4
"30","SEX OFFENSE",4
"15","KIDNAPPING",3
"1","ARSON",2
"11","HOMICIDE",2
"14","INTIMIDATION",2
"6","CRIM SEXUAL ASSAULT",1
"16","LIQUOR LAW VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
