"","Crime Type","Occurance"
"32","THEFT",414
"7","CRIMINAL DAMAGE",146
"3","BATTERY",136
"4","BURGLARY",127
"9","DECEPTIVE PRACTICE",124
"25","OTHER OFFENSE",75
"29","ROBBERY",67
"17","MOTOR VEHICLE THEFT",59
"2","ASSAULT",51
"8","CRIMINAL TRESPASS",32
"23","OFFENSE INVOLVING CHILDREN",7
"30","SEX OFFENSE",7
"6","CRIM SEXUAL ASSAULT",6
"18","NARCOTICS",5
"28","PUBLIC PEACE VIOLATION",5
"33","WEAPONS VIOLATION",5
"11","HOMICIDE",1
"14","INTIMIDATION",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"13","INTERFERENCE WITH PUBLIC OFFICER",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
