"","Crime Type","Occurance"
"32","THEFT",116
"3","BATTERY",93
"7","CRIMINAL DAMAGE",65
"9","DECEPTIVE PRACTICE",53
"25","OTHER OFFENSE",42
"4","BURGLARY",23
"2","ASSAULT",22
"18","NARCOTICS",11
"8","CRIMINAL TRESPASS",10
"17","MOTOR VEHICLE THEFT",8
"29","ROBBERY",8
"23","OFFENSE INVOLVING CHILDREN",6
"28","PUBLIC PEACE VIOLATION",4
"1","ARSON",2
"30","SEX OFFENSE",2
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"14","INTIMIDATION",1
"15","KIDNAPPING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"6","CRIM SEXUAL ASSAULT",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
"33","WEAPONS VIOLATION",0
