"","Crime Type","Occurance"
"32","THEFT",346
"9","DECEPTIVE PRACTICE",146
"7","CRIMINAL DAMAGE",134
"3","BATTERY",93
"4","BURGLARY",85
"25","OTHER OFFENSE",48
"17","MOTOR VEHICLE THEFT",46
"2","ASSAULT",43
"29","ROBBERY",39
"8","CRIMINAL TRESPASS",30
"18","NARCOTICS",21
"28","PUBLIC PEACE VIOLATION",3
"33","WEAPONS VIOLATION",3
"14","INTIMIDATION",2
"16","LIQUOR LAW VIOLATION",2
"23","OFFENSE INVOLVING CHILDREN",2
"30","SEX OFFENSE",2
"6","CRIM SEXUAL ASSAULT",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"15","KIDNAPPING",1
"22","OBSCENITY",1
"31","STALKING",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
