"","Crime Type","Occurance"
"32","THEFT",208
"3","BATTERY",206
"7","CRIMINAL DAMAGE",135
"25","OTHER OFFENSE",97
"2","ASSAULT",95
"9","DECEPTIVE PRACTICE",80
"4","BURGLARY",64
"17","MOTOR VEHICLE THEFT",64
"29","ROBBERY",48
"18","NARCOTICS",25
"8","CRIMINAL TRESPASS",16
"23","OFFENSE INVOLVING CHILDREN",12
"33","WEAPONS VIOLATION",11
"6","CRIM SEXUAL ASSAULT",4
"13","INTERFERENCE WITH PUBLIC OFFICER",4
"28","PUBLIC PEACE VIOLATION",3
"15","KIDNAPPING",2
"1","ARSON",1
"10","GAMBLING",1
"11","HOMICIDE",1
"14","INTIMIDATION",1
"16","LIQUOR LAW VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"30","SEX OFFENSE",0
"31","STALKING",0
