"","Crime Type","Occurance"
"32","THEFT",498
"3","BATTERY",368
"7","CRIMINAL DAMAGE",217
"2","ASSAULT",158
"9","DECEPTIVE PRACTICE",140
"25","OTHER OFFENSE",130
"29","ROBBERY",129
"17","MOTOR VEHICLE THEFT",80
"8","CRIMINAL TRESPASS",66
"18","NARCOTICS",64
"4","BURGLARY",35
"33","WEAPONS VIOLATION",20
"6","CRIM SEXUAL ASSAULT",11
"23","OFFENSE INVOLVING CHILDREN",11
"30","SEX OFFENSE",11
"28","PUBLIC PEACE VIOLATION",10
"11","HOMICIDE",4
"13","INTERFERENCE WITH PUBLIC OFFICER",4
"14","INTIMIDATION",4
"15","KIDNAPPING",2
"19","NON-CRIMINAL",2
"31","STALKING",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
