"","Crime Type","Occurance"
"18","NARCOTICS",1101
"3","BATTERY",924
"32","THEFT",451
"7","CRIMINAL DAMAGE",412
"29","ROBBERY",267
"2","ASSAULT",263
"25","OTHER OFFENSE",216
"17","MOTOR VEHICLE THEFT",163
"26","PROSTITUTION",142
"9","DECEPTIVE PRACTICE",126
"4","BURGLARY",97
"33","WEAPONS VIOLATION",86
"8","CRIMINAL TRESPASS",78
"28","PUBLIC PEACE VIOLATION",43
"13","INTERFERENCE WITH PUBLIC OFFICER",42
"23","OFFENSE INVOLVING CHILDREN",34
"11","HOMICIDE",25
"6","CRIM SEXUAL ASSAULT",24
"30","SEX OFFENSE",9
"1","ARSON",8
"16","LIQUOR LAW VIOLATION",8
"10","GAMBLING",5
"14","INTIMIDATION",4
"31","STALKING",4
"15","KIDNAPPING",3
"5","CONCEALED CARRY LICENSE VIOLATION",2
"12","HUMAN TRAFFICKING",1
"21","NON - CRIMINAL",1
"22","OBSCENITY",1
"27","PUBLIC INDECENCY",1
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"24","OTHER NARCOTIC VIOLATION",0
