"","Crime Type","Occurance"
"32","THEFT",809
"3","BATTERY",530
"9","DECEPTIVE PRACTICE",250
"7","CRIMINAL DAMAGE",241
"2","ASSAULT",196
"25","OTHER OFFENSE",150
"29","ROBBERY",114
"8","CRIMINAL TRESPASS",104
"17","MOTOR VEHICLE THEFT",93
"18","NARCOTICS",93
"4","BURGLARY",91
"33","WEAPONS VIOLATION",25
"6","CRIM SEXUAL ASSAULT",20
"28","PUBLIC PEACE VIOLATION",19
"23","OFFENSE INVOLVING CHILDREN",18
"30","SEX OFFENSE",16
"11","HOMICIDE",5
"19","NON-CRIMINAL",2
"1","ARSON",1
"10","GAMBLING",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"15","KIDNAPPING",1
"16","LIQUOR LAW VIOLATION",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
