"","Crime Type","Occurance"
"3","BATTERY",867
"32","THEFT",593
"7","CRIMINAL DAMAGE",433
"2","ASSAULT",342
"25","OTHER OFFENSE",284
"18","NARCOTICS",250
"4","BURGLARY",233
"29","ROBBERY",191
"17","MOTOR VEHICLE THEFT",147
"9","DECEPTIVE PRACTICE",127
"33","WEAPONS VIOLATION",89
"8","CRIMINAL TRESPASS",69
"23","OFFENSE INVOLVING CHILDREN",51
"11","HOMICIDE",28
"6","CRIM SEXUAL ASSAULT",24
"28","PUBLIC PEACE VIOLATION",24
"13","INTERFERENCE WITH PUBLIC OFFICER",21
"30","SEX OFFENSE",19
"1","ARSON",12
"14","INTIMIDATION",5
"16","LIQUOR LAW VIOLATION",4
"10","GAMBLING",3
"15","KIDNAPPING",3
"31","STALKING",2
"22","OBSCENITY",1
"24","OTHER NARCOTIC VIOLATION",1
"26","PROSTITUTION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"27","PUBLIC INDECENCY",0
