"","Crime Type","Occurance"
"32","THEFT",196
"7","CRIMINAL DAMAGE",104
"3","BATTERY",83
"9","DECEPTIVE PRACTICE",69
"4","BURGLARY",62
"25","OTHER OFFENSE",62
"2","ASSAULT",42
"17","MOTOR VEHICLE THEFT",36
"8","CRIMINAL TRESPASS",23
"29","ROBBERY",17
"18","NARCOTICS",16
"33","WEAPONS VIOLATION",7
"30","SEX OFFENSE",6
"23","OFFENSE INVOLVING CHILDREN",5
"1","ARSON",1
"6","CRIM SEXUAL ASSAULT",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"15","KIDNAPPING",1
"28","PUBLIC PEACE VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
