"","Crime Type","Occurance"
"3","BATTERY",1173
"32","THEFT",769
"7","CRIMINAL DAMAGE",676
"2","ASSAULT",473
"25","OTHER OFFENSE",391
"4","BURGLARY",332
"18","NARCOTICS",285
"29","ROBBERY",242
"17","MOTOR VEHICLE THEFT",196
"9","DECEPTIVE PRACTICE",188
"8","CRIMINAL TRESPASS",158
"33","WEAPONS VIOLATION",108
"23","OFFENSE INVOLVING CHILDREN",46
"6","CRIM SEXUAL ASSAULT",41
"28","PUBLIC PEACE VIOLATION",33
"13","INTERFERENCE WITH PUBLIC OFFICER",30
"1","ARSON",21
"11","HOMICIDE",21
"26","PROSTITUTION",19
"30","SEX OFFENSE",13
"10","GAMBLING",5
"15","KIDNAPPING",4
"14","INTIMIDATION",1
"16","LIQUOR LAW VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
