"","Crime Type","Occurance"
"3","BATTERY",428
"7","CRIMINAL DAMAGE",287
"32","THEFT",262
"4","BURGLARY",160
"2","ASSAULT",150
"25","OTHER OFFENSE",146
"18","NARCOTICS",141
"17","MOTOR VEHICLE THEFT",112
"29","ROBBERY",107
"9","DECEPTIVE PRACTICE",89
"33","WEAPONS VIOLATION",30
"8","CRIMINAL TRESPASS",29
"23","OFFENSE INVOLVING CHILDREN",25
"26","PROSTITUTION",22
"30","SEX OFFENSE",16
"28","PUBLIC PEACE VIOLATION",15
"6","CRIM SEXUAL ASSAULT",12
"1","ARSON",11
"11","HOMICIDE",7
"13","INTERFERENCE WITH PUBLIC OFFICER",7
"16","LIQUOR LAW VIOLATION",4
"31","STALKING",3
"14","INTIMIDATION",1
"15","KIDNAPPING",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
