"","Crime Type","Occurance"
"3","BATTERY",1346
"32","THEFT",693
"7","CRIMINAL DAMAGE",645
"2","ASSAULT",465
"25","OTHER OFFENSE",369
"18","NARCOTICS",364
"4","BURGLARY",346
"29","ROBBERY",267
"17","MOTOR VEHICLE THEFT",220
"9","DECEPTIVE PRACTICE",202
"33","WEAPONS VIOLATION",166
"8","CRIMINAL TRESPASS",134
"23","OFFENSE INVOLVING CHILDREN",48
"28","PUBLIC PEACE VIOLATION",43
"13","INTERFERENCE WITH PUBLIC OFFICER",35
"6","CRIM SEXUAL ASSAULT",33
"11","HOMICIDE",28
"1","ARSON",20
"10","GAMBLING",20
"30","SEX OFFENSE",18
"26","PROSTITUTION",15
"15","KIDNAPPING",3
"31","STALKING",3
"14","INTIMIDATION",2
"16","LIQUOR LAW VIOLATION",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"12","HUMAN TRAFFICKING",1
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
