"","Crime Type","Occurance"
"3","BATTERY",532
"32","THEFT",330
"7","CRIMINAL DAMAGE",279
"2","ASSAULT",181
"25","OTHER OFFENSE",148
"4","BURGLARY",134
"29","ROBBERY",134
"17","MOTOR VEHICLE THEFT",76
"18","NARCOTICS",74
"9","DECEPTIVE PRACTICE",66
"8","CRIMINAL TRESPASS",47
"33","WEAPONS VIOLATION",34
"28","PUBLIC PEACE VIOLATION",21
"23","OFFENSE INVOLVING CHILDREN",17
"11","HOMICIDE",9
"6","CRIM SEXUAL ASSAULT",7
"30","SEX OFFENSE",5
"13","INTERFERENCE WITH PUBLIC OFFICER",4
"10","GAMBLING",2
"14","INTIMIDATION",2
"1","ARSON",1
"15","KIDNAPPING",1
"16","LIQUOR LAW VIOLATION",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
