"","Crime Type","Occurance"
"32","THEFT",438
"7","CRIMINAL DAMAGE",298
"3","BATTERY",246
"4","BURGLARY",140
"25","OTHER OFFENSE",101
"9","DECEPTIVE PRACTICE",91
"2","ASSAULT",81
"17","MOTOR VEHICLE THEFT",68
"29","ROBBERY",67
"18","NARCOTICS",40
"8","CRIMINAL TRESPASS",25
"23","OFFENSE INVOLVING CHILDREN",23
"1","ARSON",9
"33","WEAPONS VIOLATION",7
"30","SEX OFFENSE",6
"11","HOMICIDE",4
"28","PUBLIC PEACE VIOLATION",4
"6","CRIM SEXUAL ASSAULT",3
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"14","INTIMIDATION",2
"16","LIQUOR LAW VIOLATION",2
"22","OBSCENITY",2
"31","STALKING",2
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"15","KIDNAPPING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
