"","Crime Type","Occurance"
"32","THEFT",249
"7","CRIMINAL DAMAGE",164
"3","BATTERY",140
"9","DECEPTIVE PRACTICE",117
"25","OTHER OFFENSE",79
"4","BURGLARY",69
"2","ASSAULT",60
"17","MOTOR VEHICLE THEFT",35
"8","CRIMINAL TRESPASS",28
"18","NARCOTICS",21
"29","ROBBERY",12
"23","OFFENSE INVOLVING CHILDREN",7
"15","KIDNAPPING",5
"28","PUBLIC PEACE VIOLATION",4
"30","SEX OFFENSE",3
"6","CRIM SEXUAL ASSAULT",2
"16","LIQUOR LAW VIOLATION",2
"31","STALKING",2
"11","HOMICIDE",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"14","INTIMIDATION",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"33","WEAPONS VIOLATION",0
