"","Crime Type","Occurance"
"32","THEFT",399
"9","DECEPTIVE PRACTICE",184
"3","BATTERY",126
"8","CRIMINAL TRESPASS",106
"25","OTHER OFFENSE",100
"7","CRIMINAL DAMAGE",94
"2","ASSAULT",59
"17","MOTOR VEHICLE THEFT",58
"18","NARCOTICS",45
"28","PUBLIC PEACE VIOLATION",22
"4","BURGLARY",18
"29","ROBBERY",12
"5","CONCEALED CARRY LICENSE VIOLATION",6
"6","CRIM SEXUAL ASSAULT",4
"30","SEX OFFENSE",3
"19","NON-CRIMINAL",2
"23","OFFENSE INVOLVING CHILDREN",2
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"1","ARSON",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
"33","WEAPONS VIOLATION",0
