"","Crime Type","Occurance"
"32","THEFT",256
"3","BATTERY",205
"7","CRIMINAL DAMAGE",125
"2","ASSAULT",79
"25","OTHER OFFENSE",68
"4","BURGLARY",66
"9","DECEPTIVE PRACTICE",66
"29","ROBBERY",64
"17","MOTOR VEHICLE THEFT",51
"8","CRIMINAL TRESPASS",23
"6","CRIM SEXUAL ASSAULT",9
"18","NARCOTICS",9
"23","OFFENSE INVOLVING CHILDREN",8
"30","SEX OFFENSE",6
"33","WEAPONS VIOLATION",6
"11","HOMICIDE",3
"1","ARSON",2
"14","INTIMIDATION",2
"28","PUBLIC PEACE VIOLATION",2
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"13","INTERFERENCE WITH PUBLIC OFFICER",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
