"","Crime Type","Occurance"
"32","THEFT",569
"3","BATTERY",436
"7","CRIMINAL DAMAGE",352
"25","OTHER OFFENSE",202
"9","DECEPTIVE PRACTICE",186
"2","ASSAULT",169
"4","BURGLARY",167
"17","MOTOR VEHICLE THEFT",127
"29","ROBBERY",72
"18","NARCOTICS",66
"8","CRIMINAL TRESPASS",56
"23","OFFENSE INVOLVING CHILDREN",29
"33","WEAPONS VIOLATION",15
"6","CRIM SEXUAL ASSAULT",14
"30","SEX OFFENSE",11
"28","PUBLIC PEACE VIOLATION",6
"13","INTERFERENCE WITH PUBLIC OFFICER",5
"1","ARSON",3
"14","INTIMIDATION",2
"16","LIQUOR LAW VIOLATION",2
"22","OBSCENITY",2
"11","HOMICIDE",1
"15","KIDNAPPING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
