"","Crime Type","Occurance"
"32","THEFT",530
"3","BATTERY",227
"9","DECEPTIVE PRACTICE",195
"7","CRIMINAL DAMAGE",138
"2","ASSAULT",87
"8","CRIMINAL TRESPASS",82
"25","OTHER OFFENSE",78
"17","MOTOR VEHICLE THEFT",51
"29","ROBBERY",40
"4","BURGLARY",38
"18","NARCOTICS",16
"6","CRIM SEXUAL ASSAULT",12
"23","OFFENSE INVOLVING CHILDREN",11
"28","PUBLIC PEACE VIOLATION",6
"11","HOMICIDE",4
"13","INTERFERENCE WITH PUBLIC OFFICER",3
"33","WEAPONS VIOLATION",3
"15","KIDNAPPING",2
"30","SEX OFFENSE",2
"31","STALKING",2
"1","ARSON",1
"16","LIQUOR LAW VIOLATION",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
