"","Crime Type","Occurance"
"3","BATTERY",221
"32","THEFT",174
"7","CRIMINAL DAMAGE",172
"2","ASSAULT",101
"25","OTHER OFFENSE",84
"4","BURGLARY",52
"9","DECEPTIVE PRACTICE",51
"17","MOTOR VEHICLE THEFT",40
"18","NARCOTICS",40
"8","CRIMINAL TRESPASS",23
"23","OFFENSE INVOLVING CHILDREN",23
"29","ROBBERY",17
"33","WEAPONS VIOLATION",16
"28","PUBLIC PEACE VIOLATION",9
"30","SEX OFFENSE",4
"1","ARSON",3
"6","CRIM SEXUAL ASSAULT",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"15","KIDNAPPING",1
"16","LIQUOR LAW VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
