"","Crime Type","Occurance"
"3","BATTERY",1364
"32","THEFT",973
"18","NARCOTICS",792
"7","CRIMINAL DAMAGE",683
"2","ASSAULT",495
"25","OTHER OFFENSE",406
"17","MOTOR VEHICLE THEFT",292
"29","ROBBERY",282
"4","BURGLARY",230
"9","DECEPTIVE PRACTICE",189
"33","WEAPONS VIOLATION",112
"8","CRIMINAL TRESPASS",99
"26","PROSTITUTION",72
"23","OFFENSE INVOLVING CHILDREN",65
"28","PUBLIC PEACE VIOLATION",48
"13","INTERFERENCE WITH PUBLIC OFFICER",31
"6","CRIM SEXUAL ASSAULT",29
"11","HOMICIDE",21
"30","SEX OFFENSE",20
"1","ARSON",11
"10","GAMBLING",9
"14","INTIMIDATION",7
"15","KIDNAPPING",6
"16","LIQUOR LAW VIOLATION",2
"12","HUMAN TRAFFICKING",1
"21","NON - CRIMINAL",1
"27","PUBLIC INDECENCY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"31","STALKING",0
