"","Crime Type","Occurance"
"32","THEFT",455
"3","BATTERY",307
"7","CRIMINAL DAMAGE",251
"17","MOTOR VEHICLE THEFT",131
"4","BURGLARY",118
"9","DECEPTIVE PRACTICE",114
"2","ASSAULT",111
"25","OTHER OFFENSE",85
"29","ROBBERY",63
"8","CRIMINAL TRESPASS",38
"18","NARCOTICS",23
"23","OFFENSE INVOLVING CHILDREN",13
"33","WEAPONS VIOLATION",13
"1","ARSON",7
"6","CRIM SEXUAL ASSAULT",7
"28","PUBLIC PEACE VIOLATION",6
"30","SEX OFFENSE",6
"11","HOMICIDE",3
"13","INTERFERENCE WITH PUBLIC OFFICER",2
"15","KIDNAPPING",2
"16","LIQUOR LAW VIOLATION",2
"22","OBSCENITY",1
"26","PROSTITUTION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
