"","Crime Type","Occurance"
"3","BATTERY",677
"32","THEFT",451
"7","CRIMINAL DAMAGE",325
"4","BURGLARY",249
"2","ASSAULT",238
"25","OTHER OFFENSE",228
"29","ROBBERY",134
"9","DECEPTIVE PRACTICE",125
"18","NARCOTICS",110
"17","MOTOR VEHICLE THEFT",107
"8","CRIMINAL TRESPASS",76
"33","WEAPONS VIOLATION",39
"23","OFFENSE INVOLVING CHILDREN",27
"28","PUBLIC PEACE VIOLATION",24
"30","SEX OFFENSE",18
"13","INTERFERENCE WITH PUBLIC OFFICER",17
"6","CRIM SEXUAL ASSAULT",14
"11","HOMICIDE",5
"15","KIDNAPPING",4
"1","ARSON",3
"10","GAMBLING",3
"31","STALKING",2
"12","HUMAN TRAFFICKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"14","INTIMIDATION",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
