"","Crime Type","Occurance"
"3","BATTERY",890
"32","THEFT",525
"7","CRIMINAL DAMAGE",466
"2","ASSAULT",414
"25","OTHER OFFENSE",326
"4","BURGLARY",232
"29","ROBBERY",174
"18","NARCOTICS",155
"9","DECEPTIVE PRACTICE",136
"17","MOTOR VEHICLE THEFT",130
"8","CRIMINAL TRESPASS",96
"33","WEAPONS VIOLATION",64
"23","OFFENSE INVOLVING CHILDREN",54
"28","PUBLIC PEACE VIOLATION",24
"6","CRIM SEXUAL ASSAULT",19
"13","INTERFERENCE WITH PUBLIC OFFICER",19
"11","HOMICIDE",12
"30","SEX OFFENSE",8
"1","ARSON",6
"15","KIDNAPPING",4
"14","INTIMIDATION",3
"31","STALKING",2
"10","GAMBLING",1
"12","HUMAN TRAFFICKING",1
"16","LIQUOR LAW VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
