"","Crime Type","Occurance"
"32","THEFT",3680
"9","DECEPTIVE PRACTICE",957
"3","BATTERY",610
"7","CRIMINAL DAMAGE",297
"2","ASSAULT",270
"29","ROBBERY",234
"8","CRIMINAL TRESPASS",223
"25","OTHER OFFENSE",203
"4","BURGLARY",94
"17","MOTOR VEHICLE THEFT",81
"18","NARCOTICS",74
"28","PUBLIC PEACE VIOLATION",47
"6","CRIM SEXUAL ASSAULT",34
"30","SEX OFFENSE",26
"33","WEAPONS VIOLATION",10
"13","INTERFERENCE WITH PUBLIC OFFICER",8
"23","OFFENSE INVOLVING CHILDREN",8
"16","LIQUOR LAW VIOLATION",6
"26","PROSTITUTION",6
"31","STALKING",5
"19","NON-CRIMINAL",4
"15","KIDNAPPING",3
"27","PUBLIC INDECENCY",3
"11","HOMICIDE",2
"1","ARSON",1
"12","HUMAN TRAFFICKING",1
"14","INTIMIDATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
