"","Crime Type","Occurance"
"32","THEFT",295
"7","CRIMINAL DAMAGE",226
"3","BATTERY",213
"2","ASSAULT",101
"25","OTHER OFFENSE",91
"9","DECEPTIVE PRACTICE",90
"4","BURGLARY",81
"29","ROBBERY",52
"17","MOTOR VEHICLE THEFT",40
"18","NARCOTICS",39
"8","CRIMINAL TRESPASS",34
"33","WEAPONS VIOLATION",12
"28","PUBLIC PEACE VIOLATION",6
"30","SEX OFFENSE",6
"13","INTERFERENCE WITH PUBLIC OFFICER",5
"14","INTIMIDATION",3
"16","LIQUOR LAW VIOLATION",3
"23","OFFENSE INVOLVING CHILDREN",3
"26","PROSTITUTION",3
"11","HOMICIDE",2
"1","ARSON",1
"6","CRIM SEXUAL ASSAULT",1
"15","KIDNAPPING",1
"19","NON-CRIMINAL",1
"21","NON - CRIMINAL",1
"22","OBSCENITY",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
