"","Crime Type","Occurance"
"32","THEFT",1635
"3","BATTERY",641
"9","DECEPTIVE PRACTICE",541
"7","CRIMINAL DAMAGE",467
"4","BURGLARY",351
"29","ROBBERY",212
"17","MOTOR VEHICLE THEFT",170
"25","OTHER OFFENSE",166
"2","ASSAULT",157
"8","CRIMINAL TRESPASS",152
"18","NARCOTICS",48
"28","PUBLIC PEACE VIOLATION",29
"6","CRIM SEXUAL ASSAULT",28
"33","WEAPONS VIOLATION",19
"30","SEX OFFENSE",18
"23","OFFENSE INVOLVING CHILDREN",14
"13","INTERFERENCE WITH PUBLIC OFFICER",8
"16","LIQUOR LAW VIOLATION",8
"1","ARSON",3
"15","KIDNAPPING",2
"19","NON-CRIMINAL",2
"24","OTHER NARCOTIC VIOLATION",2
"26","PROSTITUTION",2
"11","HOMICIDE",1
"22","OBSCENITY",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"27","PUBLIC INDECENCY",0
