"","Crime Type","Occurance"
"3","BATTERY",675
"7","CRIMINAL DAMAGE",484
"32","THEFT",392
"2","ASSAULT",280
"25","OTHER OFFENSE",256
"4","BURGLARY",173
"18","NARCOTICS",128
"17","MOTOR VEHICLE THEFT",127
"9","DECEPTIVE PRACTICE",124
"29","ROBBERY",116
"33","WEAPONS VIOLATION",91
"8","CRIMINAL TRESPASS",57
"23","OFFENSE INVOLVING CHILDREN",30
"6","CRIM SEXUAL ASSAULT",25
"13","INTERFERENCE WITH PUBLIC OFFICER",18
"28","PUBLIC PEACE VIOLATION",17
"1","ARSON",13
"30","SEX OFFENSE",12
"11","HOMICIDE",8
"26","PROSTITUTION",7
"15","KIDNAPPING",3
"31","STALKING",3
"16","LIQUOR LAW VIOLATION",2
"14","INTIMIDATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
