"","Crime Type","Occurance"
"32","THEFT",400
"3","BATTERY",222
"7","CRIMINAL DAMAGE",193
"9","DECEPTIVE PRACTICE",182
"25","OTHER OFFENSE",92
"4","BURGLARY",80
"2","ASSAULT",78
"17","MOTOR VEHICLE THEFT",70
"8","CRIMINAL TRESPASS",40
"29","ROBBERY",40
"18","NARCOTICS",31
"6","CRIM SEXUAL ASSAULT",17
"33","WEAPONS VIOLATION",16
"23","OFFENSE INVOLVING CHILDREN",10
"28","PUBLIC PEACE VIOLATION",6
"30","SEX OFFENSE",6
"13","INTERFERENCE WITH PUBLIC OFFICER",4
"15","KIDNAPPING",4
"16","LIQUOR LAW VIOLATION",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"10","GAMBLING",1
"11","HOMICIDE",1
"14","INTIMIDATION",1
"19","NON-CRIMINAL",1
"22","OBSCENITY",1
"31","STALKING",1
"1","ARSON",0
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
