"","Crime Type","Occurance"
"3","BATTERY",1279
"32","THEFT",817
"7","CRIMINAL DAMAGE",628
"2","ASSAULT",441
"25","OTHER OFFENSE",387
"29","ROBBERY",301
"4","BURGLARY",264
"18","NARCOTICS",206
"9","DECEPTIVE PRACTICE",195
"17","MOTOR VEHICLE THEFT",172
"8","CRIMINAL TRESPASS",141
"33","WEAPONS VIOLATION",84
"23","OFFENSE INVOLVING CHILDREN",68
"6","CRIM SEXUAL ASSAULT",32
"11","HOMICIDE",26
"13","INTERFERENCE WITH PUBLIC OFFICER",25
"28","PUBLIC PEACE VIOLATION",25
"30","SEX OFFENSE",14
"1","ARSON",11
"31","STALKING",6
"15","KIDNAPPING",3
"10","GAMBLING",2
"16","LIQUOR LAW VIOLATION",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"14","INTIMIDATION",1
"19","NON-CRIMINAL",1
"26","PROSTITUTION",1
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
