"","Crime Type","Occurance"
"3","BATTERY",992
"18","NARCOTICS",553
"32","THEFT",503
"7","CRIMINAL DAMAGE",403
"2","ASSAULT",337
"25","OTHER OFFENSE",266
"29","ROBBERY",174
"17","MOTOR VEHICLE THEFT",163
"33","WEAPONS VIOLATION",98
"9","DECEPTIVE PRACTICE",93
"4","BURGLARY",91
"8","CRIMINAL TRESPASS",87
"28","PUBLIC PEACE VIOLATION",42
"23","OFFENSE INVOLVING CHILDREN",29
"13","INTERFERENCE WITH PUBLIC OFFICER",23
"6","CRIM SEXUAL ASSAULT",21
"11","HOMICIDE",17
"30","SEX OFFENSE",15
"10","GAMBLING",12
"1","ARSON",7
"15","KIDNAPPING",3
"26","PROSTITUTION",2
"31","STALKING",2
"14","INTIMIDATION",1
"16","LIQUOR LAW VIOLATION",1
"22","OBSCENITY",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"12","HUMAN TRAFFICKING",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
