"","Crime Type","Occurance"
"3","BATTERY",103
"32","THEFT",99
"7","CRIMINAL DAMAGE",74
"25","OTHER OFFENSE",51
"9","DECEPTIVE PRACTICE",45
"4","BURGLARY",38
"17","MOTOR VEHICLE THEFT",33
"2","ASSAULT",28
"29","ROBBERY",12
"8","CRIMINAL TRESPASS",9
"18","NARCOTICS",6
"23","OFFENSE INVOLVING CHILDREN",4
"28","PUBLIC PEACE VIOLATION",4
"1","ARSON",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"30","SEX OFFENSE",1
"33","WEAPONS VIOLATION",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"6","CRIM SEXUAL ASSAULT",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
