"","Crime Type","Occurance"
"32","THEFT",2442
"7","CRIMINAL DAMAGE",798
"3","BATTERY",797
"4","BURGLARY",396
"9","DECEPTIVE PRACTICE",359
"17","MOTOR VEHICLE THEFT",330
"2","ASSAULT",315
"29","ROBBERY",291
"25","OTHER OFFENSE",193
"8","CRIMINAL TRESPASS",142
"18","NARCOTICS",72
"33","WEAPONS VIOLATION",22
"6","CRIM SEXUAL ASSAULT",21
"30","SEX OFFENSE",18
"23","OFFENSE INVOLVING CHILDREN",17
"28","PUBLIC PEACE VIOLATION",13
"16","LIQUOR LAW VIOLATION",8
"31","STALKING",8
"13","INTERFERENCE WITH PUBLIC OFFICER",7
"11","HOMICIDE",5
"26","PROSTITUTION",4
"1","ARSON",2
"14","INTIMIDATION",2
"15","KIDNAPPING",2
"22","OBSCENITY",2
"19","NON-CRIMINAL",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
