"","Crime Type","Occurance"
"32","THEFT",734
"3","BATTERY",711
"7","CRIMINAL DAMAGE",468
"25","OTHER OFFENSE",293
"2","ASSAULT",275
"4","BURGLARY",226
"9","DECEPTIVE PRACTICE",203
"17","MOTOR VEHICLE THEFT",199
"29","ROBBERY",138
"18","NARCOTICS",119
"8","CRIMINAL TRESPASS",85
"33","WEAPONS VIOLATION",54
"23","OFFENSE INVOLVING CHILDREN",53
"13","INTERFERENCE WITH PUBLIC OFFICER",19
"1","ARSON",16
"6","CRIM SEXUAL ASSAULT",16
"30","SEX OFFENSE",16
"28","PUBLIC PEACE VIOLATION",12
"15","KIDNAPPING",8
"14","INTIMIDATION",7
"11","HOMICIDE",5
"16","LIQUOR LAW VIOLATION",3
"26","PROSTITUTION",3
"19","NON-CRIMINAL",2
"31","STALKING",2
"5","CONCEALED CARRY LICENSE VIOLATION",1
"22","OBSCENITY",1
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
