"","Crime Type","Occurance"
"32","THEFT",114
"7","CRIMINAL DAMAGE",60
"4","BURGLARY",59
"3","BATTERY",50
"9","DECEPTIVE PRACTICE",45
"25","OTHER OFFENSE",36
"2","ASSAULT",24
"17","MOTOR VEHICLE THEFT",20
"8","CRIMINAL TRESPASS",17
"18","NARCOTICS",6
"29","ROBBERY",6
"30","SEX OFFENSE",2
"19","NON-CRIMINAL",1
"23","OFFENSE INVOLVING CHILDREN",1
"28","PUBLIC PEACE VIOLATION",1
"33","WEAPONS VIOLATION",1
"1","ARSON",0
"5","CONCEALED CARRY LICENSE VIOLATION",0
"6","CRIM SEXUAL ASSAULT",0
"10","GAMBLING",0
"11","HOMICIDE",0
"12","HUMAN TRAFFICKING",0
"13","INTERFERENCE WITH PUBLIC OFFICER",0
"14","INTIMIDATION",0
"15","KIDNAPPING",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"22","OBSCENITY",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
