"","Crime Type","Occurance"
"32","THEFT",192
"7","CRIMINAL DAMAGE",137
"3","BATTERY",103
"4","BURGLARY",95
"9","DECEPTIVE PRACTICE",59
"25","OTHER OFFENSE",53
"29","ROBBERY",47
"17","MOTOR VEHICLE THEFT",45
"2","ASSAULT",42
"8","CRIMINAL TRESPASS",21
"18","NARCOTICS",15
"33","WEAPONS VIOLATION",9
"23","OFFENSE INVOLVING CHILDREN",8
"28","PUBLIC PEACE VIOLATION",7
"11","HOMICIDE",4
"1","ARSON",3
"30","SEX OFFENSE",2
"6","CRIM SEXUAL ASSAULT",1
"13","INTERFERENCE WITH PUBLIC OFFICER",1
"14","INTIMIDATION",1
"15","KIDNAPPING",1
"22","OBSCENITY",1
"27","PUBLIC INDECENCY",1
"31","STALKING",1
"5","CONCEALED CARRY LICENSE VIOLATION",0
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"16","LIQUOR LAW VIOLATION",0
"19","NON-CRIMINAL",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"26","PROSTITUTION",0
