"","Crime Type","Occurance"
"32","THEFT",402
"7","CRIMINAL DAMAGE",279
"3","BATTERY",210
"9","DECEPTIVE PRACTICE",169
"4","BURGLARY",119
"2","ASSAULT",102
"25","OTHER OFFENSE",86
"17","MOTOR VEHICLE THEFT",78
"18","NARCOTICS",40
"8","CRIMINAL TRESPASS",37
"29","ROBBERY",36
"26","PROSTITUTION",15
"23","OFFENSE INVOLVING CHILDREN",14
"28","PUBLIC PEACE VIOLATION",14
"6","CRIM SEXUAL ASSAULT",13
"30","SEX OFFENSE",7
"13","INTERFERENCE WITH PUBLIC OFFICER",6
"1","ARSON",5
"5","CONCEALED CARRY LICENSE VIOLATION",5
"33","WEAPONS VIOLATION",3
"11","HOMICIDE",1
"14","INTIMIDATION",1
"15","KIDNAPPING",1
"19","NON-CRIMINAL",1
"22","OBSCENITY",1
"10","GAMBLING",0
"12","HUMAN TRAFFICKING",0
"16","LIQUOR LAW VIOLATION",0
"20","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"21","NON - CRIMINAL",0
"24","OTHER NARCOTIC VIOLATION",0
"27","PUBLIC INDECENCY",0
"31","STALKING",0
